step,sim_time,action,reward,ped_wait_mean,pressure,reward_clipped,reward_raw,veh_wait_mean
1,30001.0,0,-10.0,0.6666666666666666,12.2,-10.0,-51.10014207650273,50.31147540983606
2,30002.0,2,-10.0,1.25,12.0,-10.0,-54.064915254237285,52.69491525423729
3,30003.0,0,-10.0,1.9285714285714286,12.1,-10.0,-54.330563164108625,52.28099173553719
4,30004.0,3,-10.0,2.7142857142857144,12.0,-10.0,-56.51761904761904,53.68333333333333
5,30005.0,2,-10.0,3.466666666666667,12.1,-10.0,-57.695104683195595,54.107438016528924
6,30006.0,0,-10.0,4.090909090909091,12.1,-10.0,-59.403575757575766,55.19166666666667
7,30007.0,0,-10.0,3.5384615384615383,12.1,-10.0,-59.1635937698665,55.50413223140496
8,30008.0,3,-10.0,6.111111111111111,12.3,-10.0,-61.738176151761515,55.50406504065041
9,30009.0,2,-10.0,6.4,12.3,-10.0,-63.91142975206611,57.388429752066116
10,30010.0,2,-10.0,7.0,12.3,-10.0,-64.5538943089431,57.43089430894309
